shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_13,45.4351296626657,-73.6050614310179,1,0.0
1_13,45.4349773205027,-73.6043709655997,2,0.06
1_13,45.4346182167039,-73.6034500658318,3,0.14
1_13,45.4343665700418,-73.6031045184094,4,0.18
1_13,45.4363485239314,-73.6005518334044,5,0.48
1_13,45.445281774439,-73.5926163728,6,1.65
1_13,45.4471342302546,-73.6044828698398,7,2.6
1_13,45.4470683329095,-73.6076148017414,8,2.84
1_13,45.4472743182155,-73.6086506924456,9,2.93
1_13,45.4477322521535,-73.6096870789984,10,3.02
1_13,45.4459483033772,-73.6119974603148,11,3.29
1_13,45.4441643458233,-73.6142693463757,12,3.56
1_13,45.4394588671113,-73.6222359242759,13,4.37
1_13,45.4364768954428,-73.6254248611015,14,4.78
1_13,45.4324404735045,-73.6299658098053,15,5.36
1_13,45.430581164671,-73.634805226808,16,5.79
1_13,45.4291185048094,-73.6388912937216,17,6.15
1_13,45.4271499970749,-73.644394385534,18,6.63
1_13,45.4240167088737,-73.6458048321178,19,7.0
1_13,45.4248044064104,-73.6490399130017,20,7.26
1_13,45.4248034871916,-73.6497427482171,21,7.32
1_13,45.4245232219413,-73.6507387538859,22,7.4
1_13,45.4234690749462,-73.6517326765965,23,7.54
1_13,45.4085658287745,-73.6595239698258,24,9.31
1_13,45.4061604885841,-73.6614589481659,25,9.61
1_13,45.4053582413276,-73.662427523367,26,9.73
1_13,45.4051234237113,-73.6630272485655,27,9.79
1_13,45.4026352101779,-73.6722939199491,28,10.56
1_13,45.3993315237973,-73.6845843967065,29,11.59
1_13,45.3989595545194,-73.686448049343,30,11.74
1_13,45.3989576093319,-73.6876359355778,31,11.84
1_13,45.399026603794,-73.6894499376919,32,11.98
1_13,45.3989526603429,-73.6906248100804,33,12.07
1_13,45.3984734698836,-73.6919771293908,34,12.19
1_13,45.3979593268322,-73.6927034387672,35,12.27
1_13,45.3971752011219,-73.6934415864961,36,12.37
1_13,45.3684312343549,-73.7100672646455,37,15.82
1_13,45.3433681221051,-73.7251978694874,38,18.85
1_13,45.344278637161,-73.7333428298634,39,19.5
1_13,45.3425322028433,-73.7336801848319,40,19.69
1_13,45.344278637161,-73.7333428298634,41,19.89
1_13,45.3433681221051,-73.7251978694874,42,20.54
1_13,45.3384668471994,-73.7282151848734,43,21.13
1_13,45.3215639076653,-73.738670715106,44,23.18
1_13,45.3106702758785,-73.7453586758514,45,24.5
1_13,45.3025061425091,-73.7505515168086,46,25.49
1_13,45.2787509401973,-73.7657931807889,47,28.39
1_13,45.2782279178353,-73.7662623381364,48,28.46
1_13,45.2653079646635,-73.7839784632168,49,30.46
1_13,45.2610908818793,-73.789806058662,50,31.11
1_13,45.2560431099528,-73.7965967956,51,31.89
1_13,45.2526110229425,-73.7979548715355,52,32.28
1_13,45.2492511748449,-73.7992112488337,53,32.67
1_13,45.2484848147515,-73.7997677531424,54,32.76
1_13,45.2481866862262,-73.8002120571341,55,32.81
1_13,45.2471623973509,-73.8030219750401,56,33.06
1_13,45.2456456986902,-73.8048610135067,57,33.28
1_13,45.244743682755,-73.8056587102492,58,33.4
1_13,45.2441937380468,-73.8060379104677,59,33.47
1_13,45.2431665184924,-73.8065419185344,60,33.59
1_13,45.2427066947877,-73.8068706331537,61,33.65
