route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
1,0102030405,1_10_1,Direction Montréal,0,1_10,10
1,0102030405,1_3_1,Direction Beaconsfield,1,1_3,41
1,0102030405,1_5_1,Direction Vaudreuil,1,1_5,11
1,0102030405,1_9_1,Direction Vaudreuil,1,1_9,13
1,0102030405,1_10_2,Direction Montréal,0,1_10,12
1,0102030405,1_9_2,Direction Vaudreuil,1,1_9,15
1,0102030405,1_10_3,Direction Montréal,0,1_10,114
1,0102030405,1_9_3,Direction Vaudreuil,1,1_9,17
1,0102030405,1_10_4,Direction Montréal,0,1_10,14
1,0102030405,1_4_4,Direction Montréal,0,1_4,112
1,0102030405,1_9_4,Direction Vaudreuil,1,1_9,19
1,0102030405,1_10_5,Direction Montréal,0,1_10,16
1,0102030405,1_9_5,Direction Vaudreuil,1,1_9,121
1,0102030405,1_10_6,Direction Montréal,0,1_10,18
1,0102030405,1_9_6,Direction Vaudreuil,1,1_9,21
1,0102030405,1_10_7,Direction Montréal,0,1_10,20
1,0102030405,1_9_7,Direction Vaudreuil,1,1_9,23
1,0102030405,1_10_8,Direction Montréal,0,1_10,22
1,0102030405,1_6_8,Direction Montréal,0,1_6,40
1,0102030405,1_9_8,Direction Vaudreuil,1,1_9,25
1,0102030405,1_10_9,Direction Montréal,0,1_10,24
1,0102030405,1_7_9,Direction Hudson,1,1_7,111
1,0102030405,1_9_9,Direction Vaudreuil,1,1_9,27
1,0102030405,1_10_10,Direction Montréal,0,1_10,30
1,0102030405,1_9_10,Direction Vaudreuil,1,1_9,29
1,0102030405,1_8_11,Direction Montréal,0,1_8,26
1,0102030405,1_9_11,Direction Vaudreuil,1,1_9,31
1,06,1_10_11,Direction Montréal,0,1_10,50
1,06,1_10_12,Direction Montréal,0,1_10,52
1,06,1_9_12,Direction Vaudreuil,1,1_9,51
1,06,1_10_13,Direction Montréal,0,1_10,54
1,06,1_9_13,Direction Vaudreuil,1,1_9,53
1,06,1_10_14,Direction Montréal,0,1_10,56
1,06,1_9_14,Direction Vaudreuil,1,1_9,55
1,06,1_9_15,Direction Vaudreuil,1,1_9,57
1,07,1_10_15,Direction Montréal,0,1_10,60
1,07,1_10_16,Direction Montréal,0,1_10,62
1,07,1_9_16,Direction Vaudreuil,1,1_9,61
1,07,1_10_17,Direction Montréal,0,1_10,64
1,07,1_9_17,Direction Vaudreuil,1,1_9,63
1,07,1_9_18,Direction Vaudreuil,1,1_9,65
2,0102030405,2_1_1,Direction Deux-Montagnes,1,2_1,921
2,0102030405,2_6_1,Direction Montréal,0,2_6,902
2,0102030405,2_2_2,Direction Montréal,0,2_2,920
2,0102030405,2_1_3,Direction Deux-Montagnes,1,2_1,925
2,0102030405,2_2_3,Direction Montréal,0,2_2,922
2,0102030405,2_1_4,Direction Deux-Montagnes,1,2_1,927
