trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled
1_10_1,5:45:00,5:45:00,VAU8D,1,0,0,1,0
1_10_1,5:50:00,5:50:00,VAU1D,2,0,0,1,3.74
1_10_1,5:52:00,5:52:00,TVA1D,3,0,0,1,4.99
1_10_1,5:56:00,5:56:00,LIP1D,4,0,0,1,7.36
1_10_1,5:59:00,5:59:00,SAB1D,5,0,0,1,9.08
1_10_1,6:02:00,6:02:00,BUR1D,6,0,0,1,12.19
1_10_1,6:05:00,6:05:00,BEA1D,7,0,0,1,14.57
1_10_1,6:09:00,6:09:00,BEA2D,8,0,0,1,17.8
1_10_1,6:12:00,6:12:00,PCL1D,9,0,0,1,20.11
1_10_1,6:14:00,6:14:00,PCL2D,10,0,0,1,21.5
1_10_1,6:16:00,6:16:00,PCL3D,11,0,0,1,22.53
1_10_1,6:19:00,6:19:00,DVL1D,12,0,0,1,24.61
1_10_1,6:22:00,6:22:00,DVL2D,13,0,0,1,26.27
1_10_1,6:26:00,6:26:00,LCH1D,14,0,0,1,28.75
1_10_1,6:33:00,6:33:00,MTL1A,15,0,0,1,34.34
1_10_1,6:38:00,6:38:00,MTL2A,16,0,0,1,38.1
1_10_1,6:45:00,6:45:00,MTL3A,17,1,0,1,41.54
1_3_1,7:50:00,7:50:00,MTL3C,1,0,0,1,0
1_3_1,7:56:00,7:56:00,MTL2C,2,0,0,1,3.44
1_3_1,8:02:00,8:02:00,MTL1C,3,0,0,1,7.2
1_3_1,8:08:00,8:08:00,LCH1B,4,0,0,1,12.79
1_3_1,8:11:00,8:11:00,DVL2B,5,0,0,1,15.28
1_3_1,8:16:00,8:16:00,PCL2B,6,0,0,1,20.04
1_3_1,8:20:00,8:20:00,BEA2B,7,1,0,1,23.74
1_5_1,7:00:00,7:00:00,MTL3C,1,0,0,1,0
1_5_1,7:06:00,7:06:00,MTL2C,2,0,0,1,3.44
1_5_1,7:12:00,7:12:00,MTL1C,3,0,0,1,7.2
1_5_1,7:18:00,7:18:00,LCH1B,4,0,0,1,12.79
1_5_1,7:21:00,7:21:00,DVL2B,5,0,0,1,15.28
1_5_1,7:26:00,7:26:00,PCL2B,6,0,0,1,20.04
1_5_1,7:30:00,7:30:00,BEA2B,7,0,0,1,23.74
1_5_1,7:35:00,7:35:00,BUR1B,8,0,0,1,29.36
1_5_1,7:39:00,7:39:00,SAB1B,9,0,0,1,32.47
1_5_1,7:41:00,7:41:00,LIP1B,10,0,0,1,34.19
1_5_1,7:44:00,7:44:00,TVA1B,11,0,0,1,36.55
1_5_1,7:48:00,7:48:00,VAU1B,12,0,0,1,37.81
1_5_1,7:55:00,7:55:00,VAU8B,13,1,0,1,41.54
1_9_1,9:55:00,9:55:00,MTL3C,1,0,0,1,0
1_9_1,10:01:00,10:01:00,MTL2C,2,0,0,1,3.44
1_9_1,10:07:00,10:07:00,MTL1C,3,0,0,1,7.2
1_9_1,10:13:00,10:13:00,LCH1B,4,0,0,1,12.79
1_9_1,10:16:00,10:16:00,DVL2B,5,0,0,1,15.28
1_9_1,10:18:00,10:18:00,DVL1B,6,0,0,1,16.93
1_9_1,10:21:00,10:21:00,PCL3B,7,0,0,1,19.02
1_9_1,10:23:00,10:23:00,PCL2B,8,0,0,1,20.04
1_9_1,10:25:00,10:25:00,PCL1B,9,0,0,1,21.44
1_9_1,10:29:00,10:29:00,BEA2B,10,0,0,1,23.74
1_9_1,10:33:00,10:33:00,BEA1B,11,0,0,1,26.98
1_9_1,10:36:00,10:36:00,BUR1B,12,0,0,1,29.36
1_9_1,10:40:00,10:40:00,SAB1B,13,0,0,1,32.47
1_9_1,10:42:00,10:42:00,LIP1B,14,0,0,1,34.19
1_9_1,10:46:00,10:46:00,TVA1B,15,0,0,1,36.55
1_9_1,10:50:00,10:50:00,VAU1B,16,0,0,1,37.81
1_9_1,10:55:00,10:55:00,VAU8B,17,1,0,1,41.54
1_10_2,6:25:00,6:25:00,VAU8D,1,0,0,1,0
1_10_2,6:30:00,6:30:00,VAU1D,2,0,0,1,3.74
1_10_2,6:32:00,6:32:00,TVA1D,3,0,0,1,4.99
1_10_2,6:36:00,6:36:00,LIP1D,4,0,0,1,7.36
1_10_2,6:39:00,6:39:00,SAB1D,5,0,0,1,9.08
1_10_2,6:42:00,6:42:00,BUR1D,6,0,0,1,12.19
1_10_2,6:45:00,6:45:00,BEA1D,7,0,0,1,14.57
1_10_2,6:50:00,6:50:00,BEA2D,8,0,0,1,17.8
1_10_2,6:53:00,6:53:00,PCL1D,9,0,0,1,20.11
1_10_2,6:55:00,6:55:00,PCL2D,10,0,0,1,21.5
1_10_2,6:57:00,6:57:00,PCL3D,11,0,0,1,22.53
1_10_2,7:00:00,7:00:00,DVL1D,12,0,0,1,24.61
1_10_2,7:03:00,7:03:00,DVL2D,13,0,0,1,26.27
1_10_2,7:07:00,7:07:00,LCH1D,14,0,0,1,28.75
1_10_2,7:15:00,7:15:00,MTL1A,15,0,0,1,34.34
1_10_2,7:21:00,7:21:00,MTL2A,16,0,0,1,38.1
1_10_2,7:28:00,7:28:00,MTL3A,17,1,0,1,41.54
1_9_2,12:30:00,12:30:00,MTL3C,1,0,0,1,0
1_9_2,12:36:00,12:36:00,MTL2C,2,0,0,1,3.44
1_9_2,12:42:00,12:42:00,MTL1C,3,0,0,1,7.2
1_9_2,12:48:00,12:48:00,LCH1B,4,0,0,1,12.79
1_9_2,12:51:00,12:51:00,DVL2B,5,0,0,1,15.28
1_9_2,12:53:00,12:53:00,DVL1B,6,0,0,1,16.93
1_9_2,12:56:00,12:56:00,PCL3B,7,0,0,1,19.02
1_9_2,12:58:00,12:58:00,PCL2B,8,0,0,1,20.04
1_9_2,13:00:00,13:00:00,PCL1B,9,0,0,1,21.44
1_9_2,13:04:00,13:04:00,BEA2B,10,0,0,1,23.74
1_9_2,13:08:00,13:08:00,BEA1B,11,0,0,1,26.98
1_9_2,13:11:00,13:11:00,BUR1B,12,0,0,1,29.36
1_9_2,13:15:00,13:15:00,SAB1B,13,0,0,1,32.47
1_9_2,13:17:00,13:17:00,LIP1B,14,0,0,1,34.19
1_9_2,13:21:00,13:21:00,TVA1B,15,0,0,1,36.55
1_9_2,13:25:00,13:25:00,VAU1B,16,0,0,1,37.81
1_9_2,13:30:00,13:30:00,VAU8B,17,1,0,1,41.54
1_10_3,6:40:00,6:40:00,VAU8D,1,0,0,1,0
1_10_3,6:45:00,6:45:00,VAU1D,2,0,0,1,3.74
1_10_3,6:47:00,6:47:00,TVA1D,3,0,0,1,4.99
1_10_3,6:51:00,6:51:00,LIP1D,4,0,0,1,7.36
1_10_3,6:54:00,6:54:00,SAB1D,5,0,0,1,9.08
1_10_3,6:57:00,6:57:00,BUR1D,6,0,0,1,12.19
1_10_3,7:00:00,7:00:00,BEA1D,7,0,0,1,14.57
1_10_3,7:05:00,7:05:00,BEA2D,8,0,0,1,17.8
1_10_3,7:08:00,7:08:00,PCL1D,9,0,0,1,20.11
1_10_3,7:10:00,7:10:00,PCL2D,10,0,0,1,21.5
1_10_3,7:12:00,7:12:00,PCL3D,11,0,0,1,22.53
1_10_3,7:15:00,7:15:00,DVL1D,12,0,0,1,24.61
1_10_3,7:18:00,7:18:00,DVL2D,13,0,0,1,26.27
1_10_3,7:22:00,7:22:00,LCH1D,14,0,0,1,28.75
1_10_3,7:30:00,7:30:00,MTL1A,15,0,0,1,34.34
1_10_3,7:36:00,7:36:00,MTL2A,16,0,0,1,38.1
1_10_3,7:43:00,7:43:00,MTL3A,17,1,0,1,41.54
1_9_3,15:10:00,15:10:00,MTL3C,1,0,0,1,0
1_9_3,15:16:00,15:16:00,MTL2C,2,0,0,1,3.44
1_9_3,15:22:00,15:22:00,MTL1C,3,0,0,1,7.2
1_9_3,15:28:00,15:28:00,LCH1B,4,0,0,1,12.79
1_9_3,15:31:00,15:31:00,DVL2B,5,0,0,1,15.28
1_9_3,15:33:00,15:33:00,DVL1B,6,0,0,1,16.93
1_9_3,15:36:00,15:36:00,PCL3B,7,0,0,1,19.02
1_9_3,15:39:00,15:39:00,PCL2B,8,0,0,1,20.04
1_9_3,15:41:00,15:41:00,PCL1B,9,0,0,1,21.44
1_9_3,15:47:00,15:47:00,BEA2B,10,0,0,1,23.74
1_9_3,15:51:00,15:51:00,BEA1B,11,0,0,1,26.98
1_9_3,15:54:00,15:54:00,BUR1B,12,0,0,1,29.36
1_9_3,15:58:00,15:58:00,SAB1B,13,0,0,1,32.47
1_9_3,16:00:00,16:00:00,LIP1B,14,0,0,1,34.19
1_9_3,16:04:00,16:04:00,TVA1B,15,0,0,1,36.55
1_9_3,16:08:00,16:08:00,VAU1B,16,0,0,1,37.81
1_9_3,16:14:00,16:14:00,VAU8B,17,1,0,1,41.54
1_10_4,6:55:00,6:55:00,VAU8D,1,0,0,1,0
1_10_4,7:00:00,7:00:00,VAU1D,2,0,0,1,3.74
1_10_4,7:02:00,7:02:00,TVA1D,3,0,0,1,4.99
1_10_4,7:06:00,7:06:00,LIP1D,4,0,0,1,7.36
1_10_4,7:09:00,7:09:00,SAB1D,5,0,0,1,9.08
1_10_4,7:12:00,7:12:00,BUR1D,6,0,0,1,12.19
1_10_4,7:15:00,7:15:00,BEA1D,7,0,0,1,14.57
1_10_4,7:20:00,7:20:00,BEA2D,8,0,0,1,17.8
1_10_4,7:23:00,7:23:00,PCL1D,9,0,0,1,20.11
1_10_4,7:25:00,7:25:00,PCL2D,10,0,0,1,21.5
1_10_4,7:27:00,7:27:00,PCL3D,11,0,0,1,22.53
1_10_4,7:30:00,7:30:00,DVL1D,12,0,0,1,24.61
1_10_4,7:33:00,7:33:00,DVL2D,13,0,0,1,26.27
1_10_4,7:37:00,7:37:00,LCH1D,14,0,0,1,28.75
1_10_4,7:45:00,7:45:00,MTL1A,15,0,0,1,34.34
1_10_4,7:51:00,7:51:00,MTL2A,16,0,0,1,38.1
1_10_4,7:58:00,7:58:00,MTL3A,17,1,0,1,41.54
1_4_4,6:58:00,6:58:00,HUD1D,1,0,0,1,0
1_4_4,7:10:00,7:10:00,VAU8D,2,0,0,1,9.92
1_4_4,7:15:00,7:15:00,VAU1D,3,0,0,1,13.66
1_4_4,7:17:00,7:17:00,TVA1D,4,0,0,1,14.91
1_4_4,7:21:00,7:21:00,LIP1D,5,0,0,1,17.27
1_4_4,7:24:00,7:24:00,SAB1D,6,0,0,1,18.99
1_4_4,7:27:00,7:27:00,BUR1D,7,0,0,1,22.11
1_4_4,7:30:00,7:30:00,BEA1D,8,0,0,1,24.48
1_4_4,7:35:00,7:35:00,BEA2D,9,0,0,1,27.72
1_4_4,7:38:00,7:38:00,PCL1D,10,0,0,1,30.03
1_4_4,7:40:00,7:40:00,PCL2D,11,0,0,1,31.42
1_4_4,7:42:00,7:42:00,PCL3D,12,0,0,1,32.45
1_4_4,7:45:00,7:45:00,DVL1D,13,0,0,1,34.53
1_4_4,7:48:00,7:48:00,DVL2D,14,0,0,1,36.18
1_4_4,7:52:00,7:52:00,LCH1D,15,0,0,1,38.67
1_4_4,8:00:00,8:00:00,MTL1A,16,0,0,1,44.26
1_4_4,8:06:00,8:06:00,MTL2A,17,0,0,1,48.02
1_4_4,8:13:00,8:13:00,MTL3A,18,1,0,1,51.46
1_9_4,15:45:00,15:45:00,MTL3C,1,0,0,1,0
1_9_4,15:51:00,15:51:00,MTL2C,2,0,0,1,3.44
1_9_4,15:57:00,15:57:00,MTL1C,3,0,0,1,7.2
1_9_4,16:03:00,16:03:00,LCH1B,4,0,0,1,12.79
1_9_4,16:06:00,16:06:00,DVL2B,5,0,0,1,15.28
1_9_4,16:08:00,16:08:00,DVL1B,6,0,0,1,16.93
1_9_4,16:11:00,16:11:00,PCL3B,7,0,0,1,19.02
1_9_4,16:13:00,16:13:00,PCL2B,8,0,0,1,20.04
1_9_4,16:15:00,16:15:00,PCL1B,9,0,0,1,21.44
1_9_4,16:19:00,16:19:00,BEA2B,10,0,0,1,23.74
1_9_4,16:23:00,16:23:00,BEA1B,11,0,0,1,26.98
1_9_4,16:26:00,16:26:00,BUR1B,12,0,0,1,29.36
1_9_4,16:30:00,16:30:00,SAB1B,13,0,0,1,32.47
1_9_4,16:32:00,16:32:00,LIP1B,14,0,0,1,34.19
1_9_4,16:36:00,16:36:00,TVA1B,15,0,0,1,36.55
1_9_4,16:40:00,16:40:00,VAU1B,16,0,0,1,37.81
1_9_4,16:45:00,16:45:00,VAU8B,17,1,0,1,41.54
1_10_5,7:30:00,7:30:00,VAU8D,1,0,0,1,0
1_10_5,7:35:00,7:35:00,VAU1D,2,0,0,1,3.74
1_10_5,7:37:00,7:37:00,TVA1D,3,0,0,1,4.99
1_10_5,7:41:00,7:41:00,LIP1D,4,0,0,1,7.36
1_10_5,7:44:00,7:44:00,SAB1D,5,0,0,1,9.08
1_10_5,7:47:00,7:47:00,BUR1D,6,0,0,1,12.19
1_10_5,7:50:00,7:50:00,BEA1D,7,0,0,1,14.57
1_10_5,7:54:00,7:54:00,BEA2D,8,0,0,1,17.8
1_10_5,7:57:00,7:57:00,PCL1D,9,0,0,1,20.11
1_10_5,7:59:00,7:59:00,PCL2D,10,0,0,1,21.5
1_10_5,8:01:00,8:01:00,PCL3D,11,0,0,1,22.53
1_10_5,8:04:00,8:04:00,DVL1D,12,0,0,1,24.61
1_10_5,8:07:00,8:07:00,DVL2D,13,0,0,1,26.27
1_10_5,8:11:00,8:11:00,LCH1D,14,0,0,1,28.75
1_10_5,8:18:00,8:18:00,MTL1A,15,0,0,1,34.34
1_10_5,8:23:00,8:23:00,MTL2A,16,0,0,1,38.1
1_10_5,8:30:00,8:30:00,MTL3A,17,1,0,1,41.54
1_9_5,16:20:00,16:20:00,MTL3C,1,0,0,1,0
1_9_5,16:26:00,16:26:00,MTL2C,2,0,0,1,3.44
1_9_5,16:32:00,16:32:00,MTL1C,3,0,0,1,7.2
1_9_5,16:38:00,16:38:00,LCH1B,4,0,0,1,12.79
1_9_5,16:41:00,16:41:00,DVL2B,5,0,0,1,15.28
1_9_5,16:43:00,16:43:00,DVL1B,6,0,0,1,16.93
1_9_5,16:46:00,16:46:00,PCL3B,7,0,0,1,19.02
1_9_5,16:49:00,16:49:00,PCL2B,8,0,0,1,20.04
1_9_5,16:51:00,16:51:00,PCL1B,9,0,0,1,21.44
1_9_5,16:57:00,16:57:00,BEA2B,10,0,0,1,23.74
1_9_5,17:01:00,17:01:00,BEA1B,11,0,0,1,26.98
1_9_5,17:04:00,17:04:00,BUR1B,12,0,0,1,29.36
1_9_5,17:08:00,17:08:00,SAB1B,13,0,0,1,32.47
1_9_5,17:10:00,17:10:00,LIP1B,14,0,0,1,34.19
1_9_5,17:14:00,17:14:00,TVA1B,15,0,0,1,36.55
1_9_5,17:18:00,17:18:00,VAU1B,16,0,0,1,37.81
1_9_5,17:24:00,17:24:00,VAU8B,17,1,0,1,41.54
1_10_6,7:45:00,7:45:00,VAU8D,1,0,0,1,0
1_10_6,7:50:00,7:50:00,VAU1D,2,0,0,1,3.74
1_10_6,7:52:00,7:52:00,TVA1D,3,0,0,1,4.99
1_10_6,7:56:00,7:56:00,LIP1D,4,0,0,1,7.36
1_10_6,7:59:00,7:59:00,SAB1D,5,0,0,1,9.08
1_10_6,8:02:00,8:02:00,BUR1D,6,0,0,1,12.19
1_10_6,8:05:00,8:05:00,BEA1D,7,0,0,1,14.57
1_10_6,8:09:00,8:09:00,BEA2D,8,0,0,1,17.8
1_10_6,8:12:00,8:12:00,PCL1D,9,0,0,1,20.11
1_10_6,8:14:00,8:14:00,PCL2D,10,0,0,1,21.5
1_10_6,8:16:00,8:16:00,PCL3D,11,0,0,1,22.53
1_10_6,8:19:00,8:19:00,DVL1D,12,0,0,1,24.61
1_10_6,8:22:00,8:22:00,DVL2D,13,0,0,1,26.27
1_10_6,8:26:00,8:26:00,LCH1D,14,0,0,1,28.75
1_10_6,8:33:00,8:33:00,MTL1A,15,0,0,1,34.34
1_10_6,8:38:00,8:38:00,MTL2A,16,0,0,1,38.1
1_10_6,8:45:00,8:45:00,MTL3A,17,1,0,1,41.54
1_9_6,16:40:00,16:40:00,MTL3C,1,0,0,1,0
1_9_6,16:46:00,16:46:00,MTL2C,2,0,0,1,3.44
1_9_6,16:52:00,16:52:00,MTL1C,3,0,0,1,7.2
1_9_6,16:58:00,16:58:00,LCH1B,4,0,0,1,12.79
1_9_6,17:01:00,17:01:00,DVL2B,5,0,0,1,15.28
1_9_6,17:03:00,17:03:00,DVL1B,6,0,0,1,16.93
1_9_6,17:06:00,17:06:00,PCL3B,7,0,0,1,19.02
1_9_6,17:09:00,17:09:00,PCL2B,8,0,0,1,20.04
1_9_6,17:11:00,17:11:00,PCL1B,9,0,0,1,21.44
1_9_6,17:17:00,17:17:00,BEA2B,10,0,0,1,23.74
1_9_6,17:21:00,17:21:00,BEA1B,11,0,0,1,26.98
1_9_6,17:24:00,17:24:00,BUR1B,12,0,0,1,29.36
1_9_6,17:28:00,17:28:00,SAB1B,13,0,0,1,32.47
1_9_6,17:30:00,17:30:00,LIP1B,14,0,0,1,34.19
1_9_6,17:34:00,17:34:00,TVA1B,15,0,0,1,36.55
1_9_6,17:38:00,17:38:00,VAU1B,16,0,0,1,37.81
1_9_6,17:44:00,17:44:00,VAU8B,17,1,0,1,41.54
1_10_7,8:10:00,8:10:00,VAU8D,1,0,0,1,0
1_10_7,8:15:00,8:15:00,VAU1D,2,0,0,1,3.74
1_10_7,8:17:00,8:17:00,TVA1D,3,0,0,1,4.99
1_10_7,8:21:00,8:21:00,LIP1D,4,0,0,1,7.36
1_10_7,8:24:00,8:24:00,SAB1D,5,0,0,1,9.08
1_10_7,8:27:00,8:27:00,BUR1D,6,0,0,1,12.19
1_10_7,8:30:00,8:30:00,BEA1D,7,0,0,1,14.57
1_10_7,8:34:00,8:34:00,BEA2D,8,0,0,1,17.8
1_10_7,8:37:00,8:37:00,PCL1D,9,0,0,1,20.11
1_10_7,8:39:00,8:39:00,PCL2D,10,0,0,1,21.5
1_10_7,8:41:00,8:41:00,PCL3D,11,0,0,1,22.53
1_10_7,8:44:00,8:44:00,DVL1D,12,0,0,1,24.61
1_10_7,8:47:00,8:47:00,DVL2D,13,0,0,1,26.27
1_10_7,8:51:00,8:51:00,LCH1D,14,0,0,1,28.75
1_10_7,8:58:00,8:58:00,MTL1A,15,0,0,1,34.34
1_10_7,9:03:00,9:03:00,MTL2A,16,0,0,1,38.1
1_10_7,9:10:00,9:10:00,MTL3A,17,1,0,1,41.54
1_9_7,17:00:00,17:00:00,MTL3C,1,0,0,1,0
1_9_7,17:06:00,17:06:00,MTL2C,2,0,0,1,3.44
1_9_7,17:12:00,17:12:00,MTL1C,3,0,0,1,7.2
1_9_7,17:18:00,17:18:00,LCH1B,4,0,0,1,12.79
1_9_7,17:21:00,17:21:00,DVL2B,5,0,0,1,15.28
1_9_7,17:23:00,17:23:00,DVL1B,6,0,0,1,16.93
1_9_7,17:26:00,17:26:00,PCL3B,7,0,0,1,19.02
1_9_7,17:29:00,17:29:00,PCL2B,8,0,0,1,20.04
1_9_7,17:31:00,17:31:00,PCL1B,9,0,0,1,21.44
1_9_7,17:37:00,17:37:00,BEA2B,10,0,0,1,23.74
1_9_7,17:41:00,17:41:00,BEA1B,11,0,0,1,26.98
1_9_7,17:44:00,17:44:00,BUR1B,12,0,0,1,29.36
1_9_7,17:48:00,17:48:00,SAB1B,13,0,0,1,32.47
1_9_7,17:50:00,17:50:00,LIP1B,14,0,0,1,34.19
1_9_7,17:54:00,17:54:00,TVA1B,15,0,0,1,36.55
1_9_7,17:58:00,17:58:00,VAU1B,16,0,0,1,37.81
1_9_7,18:04:00,18:04:00,VAU8B,17,1,0,1,41.54
1_10_8,11:15:00,11:15:00,VAU8D,1,0,0,1,0
1_10_8,11:20:00,11:20:00,VAU1D,2,0,0,1,3.74
1_10_8,11:22:00,11:22:00,TVA1D,3,0,0,1,4.99
1_10_8,11:26:00,11:26:00,LIP1D,4,0,0,1,7.36
1_10_8,11:29:00,11:29:00,SAB1D,5,0,0,1,9.08
1_10_8,11:32:00,11:32:00,BUR1D,6,0,0,1,12.19
1_10_8,11:35:00,11:35:00,BEA1D,7,0,0,1,14.57
1_10_8,11:39:00,11:39:00,BEA2D,8,0,0,1,17.8
1_10_8,11:42:00,11:42:00,PCL1D,9,0,0,1,20.11
1_10_8,11:44:00,11:44:00,PCL2D,10,0,0,1,21.5
1_10_8,11:46:00,11:46:00,PCL3D,11,0,0,1,22.53
1_10_8,11:49:00,11:49:00,DVL1D,12,0,0,1,24.61
1_10_8,11:52:00,11:52:00,DVL2D,13,0,0,1,26.27
1_10_8,11:56:00,11:56:00,LCH1D,14,0,0,1,28.75
1_10_8,12:03:00,12:03:00,MTL1A,15,0,0,1,34.34
1_10_8,12:08:00,12:08:00,MTL2A,16,0,0,1,38.1
1_10_8,12:15:00,12:15:00,MTL3A,17,1,0,1,41.54
1_6_8,8:40:00,8:40:00,BEA2D,1,0,0,1,0
1_6_8,8:48:00,8:48:00,PCL1D,2,0,0,1,2.31
1_6_8,8:50:00,8:50:00,PCL2D,3,0,0,1,3.7
1_6_8,8:52:00,8:52:00,PCL3D,4,0,0,1,4.72
1_6_8,8:55:00,8:55:00,DVL1D,5,0,0,1,6.81
1_6_8,8:58:00,8:58:00,DVL2D,6,0,0,1,8.46
1_6_8,9:02:00,9:02:00,LCH1D,7,0,0,1,10.95
1_6_8,9:09:00,9:09:00,MTL1A,8,0,0,1,16.54
1_6_8,9:14:00,9:14:00,MTL2A,9,0,0,1,20.3
1_6_8,9:20:00,9:20:00,MTL3A,10,1,0,1,23.74
1_9_8,17:40:00,17:40:00,MTL3C,1,0,0,1,0
1_9_8,17:46:00,17:46:00,MTL2C,2,0,0,1,3.44
1_9_8,17:52:00,17:52:00,MTL1C,3,0,0,1,7.2
1_9_8,17:58:00,17:58:00,LCH1B,4,0,0,1,12.79
1_9_8,18:01:00,18:01:00,DVL2B,5,0,0,1,15.28
1_9_8,18:03:00,18:03:00,DVL1B,6,0,0,1,16.93
1_9_8,18:06:00,18:06:00,PCL3B,7,0,0,1,19.02
1_9_8,18:08:00,18:08:00,PCL2B,8,0,0,1,20.04
1_9_8,18:10:00,18:10:00,PCL1B,9,0,0,1,21.44
1_9_8,18:14:00,18:14:00,BEA2B,10,0,0,1,23.74
1_9_8,18:18:00,18:18:00,BEA1B,11,0,0,1,26.98
1_9_8,18:21:00,18:21:00,BUR1B,12,0,0,1,29.36
1_9_8,18:25:00,18:25:00,SAB1B,13,0,0,1,32.47
1_9_8,18:27:00,18:27:00,LIP1B,14,0,0,1,34.19
1_9_8,18:31:00,18:31:00,TVA1B,15,0,0,1,36.55
1_9_8,18:35:00,18:35:00,VAU1B,16,0,0,1,37.81
1_9_8,18:40:00,18:40:00,VAU8B,17,1,0,1,41.54
1_10_9,13:55:00,13:55:00,VAU8D,1,0,0,1,0
1_10_9,14:00:00,14:00:00,VAU1D,2,0,0,1,3.74
1_10_9,14:02:00,14:02:00,TVA1D,3,0,0,1,4.99
1_10_9,14:06:00,14:06:00,LIP1D,4,0,0,1,7.36
1_10_9,14:09:00,14:09:00,SAB1D,5,0,0,1,9.08
1_10_9,14:12:00,14:12:00,BUR1D,6,0,0,1,12.19
1_10_9,14:15:00,14:15:00,BEA1D,7,0,0,1,14.57
1_10_9,14:19:00,14:19:00,BEA2D,8,0,0,1,17.8
1_10_9,14:22:00,14:22:00,PCL1D,9,0,0,1,20.11
1_10_9,14:24:00,14:24:00,PCL2D,10,0,0,1,21.5
1_10_9,14:26:00,14:26:00,PCL3D,11,0,0,1,22.53
1_10_9,14:29:00,14:29:00,DVL1D,12,0,0,1,24.61
1_10_9,14:32:00,14:32:00,DVL2D,13,0,0,1,26.27
1_10_9,14:36:00,14:36:00,LCH1D,14,0,0,1,28.75
1_10_9,14:43:00,14:43:00,MTL1A,15,0,0,1,34.34
1_10_9,14:48:00,14:48:00,MTL2A,16,0,0,1,38.1
1_10_9,14:55:00,14:55:00,MTL3A,17,1,0,1,41.54
1_7_9,17:20:00,17:20:00,MTL3C,1,0,0,1,0
1_7_9,17:26:00,17:26:00,MTL2C,2,0,0,1,3.44
1_7_9,17:32:00,17:32:00,MTL1C,3,0,0,1,7.2
1_7_9,17:38:00,17:38:00,LCH1B,4,0,0,1,12.79
1_7_9,17:41:00,17:41:00,DVL2B,5,0,0,1,15.28
1_7_9,17:43:00,17:43:00,DVL1B,6,0,0,1,16.93
1_7_9,17:46:00,17:46:00,PCL3B,7,0,0,1,19.02
1_7_9,17:49:00,17:49:00,PCL2B,8,0,0,1,20.04
1_7_9,17:51:00,17:51:00,PCL1B,9,0,0,1,21.44
1_7_9,17:57:00,17:57:00,BEA2B,10,0,0,1,23.74
1_7_9,18:01:00,18:01:00,BEA1B,11,0,0,1,26.98
1_7_9,18:04:00,18:04:00,BUR1B,12,0,0,1,29.36
1_7_9,18:08:00,18:08:00,SAB1B,13,0,0,1,32.47
1_7_9,18:10:00,18:10:00,LIP1B,14,0,0,1,34.19
1_7_9,18:14:00,18:14:00,TVA1B,15,0,0,1,36.55
1_7_9,18:18:00,18:18:00,VAU1B,16,0,0,1,37.81
1_7_9,18:24:00,18:24:00,VAU8B,17,0,0,1,41.54
1_7_9,18:33:00,18:33:00,HUD1B,18,1,0,1,51.46
1_9_9,18:00:00,18:00:00,MTL3C,1,0,0,1,0
1_9_9,18:06:00,18:06:00,MTL2C,2,0,0,1,3.44
1_9_9,18:12:00,18:12:00,MTL1C,3,0,0,1,7.2
1_9_9,18:18:00,18:18:00,LCH1B,4,0,0,1,12.79
1_9_9,18:21:00,18:21:00,DVL2B,5,0,0,1,15.28
1_9_9,18:23:00,18:23:00,DVL1B,6,0,0,1,16.93
1_9_9,18:26:00,18:26:00,PCL3B,7,0,0,1,19.02
