shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_10,45.3989996709264,-74.0505567791293,1,0.00
1_10,45.3861752577178,-74.0221080447962,2,2.64
1_10,45.3857978287874,-74.0200230471652,3,2.81
1_10,45.3863907208218,-74.0082543463005,4,3.74
1_10,45.3871716083424,-73.9922728170067,5,4.99
1_10,45.3873250808923,-73.9900648658634,6,5.17
1_10,45.3880034867826,-73.9850263505148,7,5.57
1_10,45.3890116539696,-73.980692899987,8,5.92
1_10,45.3909258680365,-73.9748343586701,9,6.43
1_10,45.3934686146473,-73.9692360571231,10,6.95
1_10,45.3959228309534,-73.9654246607855,11,7.36
1_10,45.3980041662096,-73.9625550884482,12,7.68
1_10,45.401727690001,-73.9585617668454,13,8.20
1_10,45.4057484751933,-73.9544553355197,14,8.75
1_10,45.4067075732295,-73.9531344480273,15,8.90
1_10,45.4076060412765,-73.9512126079595,16,9.08
1_10,45.4090312947779,-73.9457433463724,17,9.53
1_10,45.4162254785036,-73.9257401551353,18,11.29
1_10,45.4199073950824,-73.9155583909618,19,12.19
1_10,45.4244980918277,-73.9025960306329,20,13.32
1_10,45.4255846592172,-73.8981055300739,21,13.69
1_10,45.4273946742413,-73.8872557173005,22,14.57
1_10,45.4316673516423,-73.8602543525269,23,16.73
1_10,45.4349736654937,-73.847391976023,24,17.80
1_10,45.4404595797778,-73.8271399679248,25,19.50
1_10,45.442414831553,-73.8198778299671,26,20.11
1_10,45.4437147127574,-73.8151681984421,27,20.50
1_10,45.4472468978668,-73.8034394320935,28,21.50
1_10,45.4486558862315,-73.7980392478731,29,21.95
1_10,45.4494688562197,-73.7933644257034,30,22.33
1_10,45.4497451835371,-73.7908728809287,31,22.53
1_10,45.4499407936433,-73.7882530550694,32,22.73
1_10,45.4495938997837,-73.7642548484703,33,24.61
1_10,45.4491999376701,-73.7431076525197,34,26.27
1_10,45.4486782577965,-73.7113237489741,35,28.75
1_10,45.4486231578361,-73.7070152529351,36,29.09
1_10,45.4497758736829,-73.6910004856016,37,30.35
1_10,45.4530383149763,-73.6708108164136,38,31.97
1_10,45.4530791938149,-73.6675123451849,39,32.23
1_10,45.4511928488723,-73.6522672505832,40,33.44
1_10,45.4509882388794,-73.650489615884,41,33.58
1_10,45.4510901644689,-73.6482397619826,42,33.75
1_10,45.451452297811,-73.6465403212521,43,33.89
1_10,45.4525174026753,-73.6439604846625,44,34.13
1_10,45.4536719903492,-73.6417387653488,45,34.34
1_10,45.4737620423281,-73.6030995911778,46,38.10
1_10,45.4759070859496,-73.5992535889025,47,38.48
1_10,45.4768263614733,-73.5975924222524,48,38.65
1_10,45.4776914284025,-73.5961613442898,49,38.80
1_10,45.4800794845254,-73.5919570506045,50,39.22
1_10,45.4836292963897,-73.5862958994159,51,39.81
1_10,45.4867731962734,-73.5816185093149,52,40.32
1_10,45.4895385185912,-73.5776053454072,53,40.76
1_10,45.4947620353203,-73.570805750666,54,41.54
1_3,45.4947620353203,-73.570805750666,1,0.00
1_3,45.4895385185912,-73.5776053454072,2,0.79
1_3,45.4867731962734,-73.5816185093149,3,1.23
1_3,45.4836292963897,-73.5862958994159,4,1.73
1_3,45.4800794845254,-73.5919570506045,5,2.32
1_3,45.4776914284025,-73.5961613442898,6,2.75
1_3,45.4768263614733,-73.5975924222524,7,2.89
1_3,45.4759070859496,-73.5992535889025,8,3.06
1_3,45.4737620423281,-73.6030995911778,9,3.44
1_3,45.4536719903492,-73.6417387653488,10,7.20
1_3,45.4525174026753,-73.6439604846625,11,7.42
1_3,45.451452297811,-73.6465403212521,12,7.65
1_3,45.4510901644689,-73.6482397619826,13,7.79
1_3,45.4509882388794,-73.650489615884,14,7.97
1_3,45.4511928488723,-73.6522672505832,15,8.11
1_3,45.4530791938149,-73.6675123451849,16,9.32
1_3,45.4530383149763,-73.6708108164136,17,9.58
1_3,45.4497758736829,-73.6910004856016,18,11.20
1_3,45.4486231578361,-73.7070152529351,19,12.45
1_3,45.4486782577965,-73.7113237489741,20,12.79
1_3,45.4491999376701,-73.7431076525197,21,15.28
1_3,45.4495938997837,-73.7642548484703,22,16.93
1_3,45.4499407936433,-73.7882530550694,23,18.81
1_3,45.4497451835371,-73.7908728809287,24,19.02
1_3,45.4494688562197,-73.7933644257034,25,19.21
1_3,45.4486558862315,-73.7980392478731,26,19.59
1_3,45.4472468978668,-73.8034394320935,27,20.04
1_3,45.4437147127574,-73.8151681984421,28,21.04
1_3,45.442414831553,-73.8198778299671,29,21.44
1_3,45.4404595797778,-73.8271399679248,30,22.04
1_3,45.4349736654937,-73.847391976023,31,23.74
