shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
90_1,45.4982652034138,-73.5661781803096,1,0.00
90_1,45.4975274282022,-73.5660109771229,2,0.08
90_1,45.4968892933944,-73.5646923300123,3,0.21
90_1,45.4976455868691,-73.5639382714669,4,0.31
90_1,45.4973853693835,-73.5626072686155,5,0.42
90_1,45.4961269354299,-73.5600980565251,6,0.66
90_1,45.4969012951214,-73.5591520381756,7,0.77
90_1,45.4963171751026,-73.5576288179605,8,0.91
90_1,45.4956072257256,-73.5557600428083,9,1.07
90_1,45.4952746618324,-73.5549792321292,10,1.15
90_1,45.4919011063401,-73.5531591973187,11,1.55
90_1,45.4908129523411,-73.5517252698148,12,1.71
90_1,45.490111797683,-73.5500998375786,13,1.86
90_1,45.4883337823818,-73.5408615542901,14,2.61
90_1,45.4878213388174,-73.5395307006483,15,2.73
90_1,45.4866160073123,-73.5381738171525,16,2.90
90_1,45.4855453441283,-73.5377125607018,17,3.02
90_1,45.484285513608,-73.5378524354823,18,3.16
90_1,45.4781028284515,-73.5400227499456,19,3.87
90_1,45.4747817562647,-73.5417982307633,20,4.27
90_1,45.4726305732689,-73.5432674525922,21,4.53
90_1,45.4703982384367,-73.5451073842786,22,4.82
90_1,45.4699393058801,-73.5451325963316,23,4.87
90_1,45.4694806292673,-73.5445055713591,24,4.94
90_1,45.4694629041956,-73.5438021649772,25,4.99
90_1,45.4698772220444,-73.5427793621324,26,5.09
90_1,45.470048762228,-73.5412320125177,27,5.21
90_1,45.4698785245441,-73.5391472736843,28,5.37
90_1,45.4698793929602,-73.53652551955,29,5.58
90_1,45.4654927051546,-73.4829918861794,30,9.79
90_1,45.4647706370969,-73.4719050007222,31,10.66
90_1,45.4645781112109,-73.4599740334707,32,11.60
90_1,45.4625698962359,-73.4557684016563,33,11.99
90_1,45.458383009657,-73.4495318884799,34,12.67
90_1,45.4573920579166,-73.4470650311594,35,12.89
90_1,45.4569687041631,-73.4461576121289,36,12.98
90_1,45.4558071331393,-73.4445604842626,37,13.16
90_1,45.455960008178,-73.4443557600516,38,13.18
90_1,45.4560949233273,-73.4442277680499,39,13.20
90_1,45.4569675017087,-73.4436643182224,40,13.30
90_1,45.4571473832573,-73.4434851327365,41,13.33
90_1,45.457336243972,-73.443267578477,42,13.35
90_1,45.4582983759636,-73.4418601064298,43,13.51
90_2,45.4582983759636,-73.4418601064298,1,0.00
90_2,45.457336243972,-73.443267578477,2,0.15
90_2,45.4571473832573,-73.4434851327365,3,0.18
90_2,45.4569675017087,-73.4436643182224,4,0.20
90_2,45.4560949233273,-73.4442277680499,5,0.31
90_2,45.455960008178,-73.4443557600516,6,0.33
90_2,45.4558071331393,-73.4445604842626,7,0.35
90_2,45.4573920579166,-73.4470650311594,8,0.62
90_2,45.458383009657,-73.4495318884799,9,0.84
90_2,45.4632002882378,-73.4570722375074,10,1.63
90_2,45.4645781112109,-73.4599740334707,11,1.91
90_2,45.4655069869005,-73.4662651010403,12,2.41
90_2,45.4652655665801,-73.4719559068923,13,2.86
90_2,45.4655463495581,-73.4808051104814,14,3.55
90_2,45.4666006512829,-73.4944626634949,15,4.62
90_2,45.4698977917038,-73.535246626269,16,7.83
90_2,45.4703197704998,-73.5382011822578,17,8.07
90_2,45.4706245583696,-73.5415265843191,18,8.33
90_2,45.4710829366325,-73.5429976926967,19,8.46
90_2,45.4715776932677,-73.5434201201445,20,8.52
90_2,45.4722975811387,-73.5433950937376,21,8.60
90_2,45.4742327884497,-73.5419640953579,22,8.84
90_2,45.4774368879354,-73.5401757675923,23,9.23
90_2,45.4847715526484,-73.5374817808995,24,10.07
90_2,45.485554418374,-73.5374823000663,25,10.16
90_2,45.4864631569649,-73.537802722724,26,10.26
90_2,45.4872907969381,-73.5384557186504,27,10.37
90_2,45.4879113939909,-73.5393260736009,28,10.46
90_2,45.4884687865809,-73.5407848923817,29,10.59
90_2,45.4902558232798,-73.5499848223427,30,11.34
90_2,45.4910558871915,-73.551776667543,31,11.50
90_2,45.4919012606584,-73.5528265526648,32,11.63
90_2,45.4927198153848,-73.5534798229433,33,11.73
90_2,45.4955268022031,-73.5545956319329,34,12.06
90_2,45.4963091287986,-73.5557095554223,35,12.18
90_2,45.4974144369295,-73.5587047406678,36,12.44
90_2,45.4969012951214,-73.5591520381756,37,12.51
90_2,45.4961269354299,-73.5600980565251,38,12.62
90_2,45.4973853693835,-73.5626072686155,39,12.87
90_2,45.4976455868691,-73.5639382714669,40,12.97
90_2,45.4982207996995,-73.5651544913456,41,13.09
90_2,45.4982652034138,-73.5661781803096,42,13.17
