route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
90,0102030405,90_1_1,Direction Chevrier,0,90_1,1
90,0102030405,90_2_1,Direction Montréal,1,90_2,2
90,0102030405,90_1_2,Direction Chevrier,0,90_1,3
90,0102030405,90_2_2,Direction Montréal,1,90_2,4
90,0102030405,90_1_3,Direction Chevrier,0,90_1,5
90,0102030405,90_2_3,Direction Montréal,1,90_2,6
90,0102030405,90_1_4,Direction Chevrier,0,90_1,7
90,0102030405,90_2_4,Direction Montréal,1,90_2,8
90,0102030405,90_1_5,Direction Chevrier,0,90_1,9
90,0102030405,90_2_5,Direction Montréal,1,90_2,10
90,0102030405,90_1_6,Direction Chevrier,0,90_1,11
90,0102030405,90_2_6,Direction Montréal,1,90_2,12
90,0102030405,90_1_7,Direction Chevrier,0,90_1,13
90,0102030405,90_2_7,Direction Montréal,1,90_2,14
90,0102030405,90_1_8,Direction Chevrier,0,90_1,15
90,0102030405,90_2_8,Direction Montréal,1,90_2,16
90,0102030405,90_1_9,Direction Chevrier,0,90_1,17
90,0102030405,90_2_9,Direction Montréal,1,90_2,18
90,0102030405,90_1_10,Direction Chevrier,0,90_1,19
90,0102030405,90_2_10,Direction Montréal,1,90_2,20
90,0102030405,90_1_11,Direction Chevrier,0,90_1,21
90,0102030405,90_2_11,Direction Montréal,1,90_2,22
90,0102030405,90_1_12,Direction Chevrier,0,90_1,23
90,0102030405,90_2_12,Direction Montréal,1,90_2,24
90,0102030405,90_1_13,Direction Chevrier,0,90_1,25
90,0102030405,90_2_13,Direction Montréal,1,90_2,26
90,0102030405,90_1_14,Direction Chevrier,0,90_1,27
90,0102030405,90_2_14,Direction Montréal,1,90_2,28
90,0102030405,90_1_15,Direction Chevrier,0,90_1,29
90,0102030405,90_1_16,Direction Chevrier,0,90_1,31
90,0102030405,90_2_16,Direction Montréal,1,90_2,30
90,0102030405,90_1_17,Direction Chevrier,0,90_1,33
90,0102030405,90_2_17,Direction Montréal,1,90_2,32
90,0102030405,90_1_18,Direction Chevrier,0,90_1,35
90,0102030405,90_2_18,Direction Montréal,1,90_2,34
90,0102030405,90_1_19,Direction Chevrier,0,90_1,37
90,0102030405,90_2_19,Direction Montréal,1,90_2,36
90,0102030405,90_1_20,Direction Chevrier,0,90_1,39
90,0102030405,90_2_20,Direction Montréal,1,90_2,38
90,0102030405,90_1_21,Direction Chevrier,0,90_1,41
90,0102030405,90_2_21,Direction Montréal,1,90_2,40
90,0102030405,90_1_22,Direction Chevrier,0,90_1,43
90,0102030405,90_2_22,Direction Montréal,1,90_2,42
90,0102030405,90_1_23,Direction Chevrier,0,90_1,45
90,0102030405,90_2_23,Direction Montréal,1,90_2,44
90,0102030405,90_1_24,Direction Chevrier,0,90_1,47
90,0102030405,90_2_24,Direction Montréal,1,90_2,46
90,0102030405,90_1_25,Direction Chevrier,0,90_1,49
90,0102030405,90_2_25,Direction Montréal,1,90_2,48
