stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code
CAR144C,rue Bouthillier / rue Jean-Baptiste Charron,45.46243416101,-73.3493776367065,5,74561
CAR145C,rue Bouthillier / rue Jean-Baptiste Lamoureux,45.4542084712857,-73.3555237925827,5,74563
CAR149D,rue Bouthillier / rue Lareau,45.4482287613104,-73.3589652122958,5,74565
CAR151A,rue Lareau / rue Jean-Baptiste Lamoureux,45.4538834230939,-73.3546552131837,5,74567
CAR152A,rue Lareau / rue Jean-Baptiste Charron,45.4621090494762,-73.3484961793205,5,74569
CAR155A,chemin de la Carrière / route 112,45.4650565191656,-73.3454831142753,5,74571
CAR3D,route 112 / ch. Bellerive,45.4594815957658,-73.3068185824698,5,74011
CHB10C,boul. de Périgny / rue Laforce,45.4563517654343,-73.3025203907874,5,74021
CHB11C,boul. de Périgny / rue Notre-Dame,45.4534076540319,-73.3015973375524,5,74023
CHB59C,boul. Brassard / rue St-Pierre,45.4513401121155,-73.302819148301,5,74025
CHB13C,boul. Brassard / rue Tracy-I,45.4505485565193,-73.3030008919748,5,74027
CHB72C,boul. Brassard / rue Tracy-II,45.4490101722233,-73.3032107965684,5,74009
CHB14C,boul. Brassard / rue Salaberry,45.4470294292544,-73.3025912736431,5,74029
CHB15C,boul. Brassard / rue Dubuisson,45.4439344199136,-73.3028705152349,5,74031
CHB30C,boul. Brassard / boul. Lebel,45.4412004468142,-73.3037875985944,5,74071
CHB39C,boul. Brassard / rue de Longueuil,45.4357144119197,-73.3055832163503,5,74085
CHB40C,boul. Brassard / rue Michel-Laguë,45.4327008093103,-73.3061175703396,5,74089
CHB51D,Stationnement incitatif Chambly,45.4325885041253,-73.3035873914643,5,74104
CAR155C,chemin de la Carrière / route 112,45.4650565191656,-73.3454831142753,5,74572
CAR152C,rue Lareau / rue Jean-Baptiste Charron,45.4621090494762,-73.3484961793205,5,74570
CAR151C,rue Lareau / rue Jean-Baptiste Lamoureux,45.4538834230939,-73.3546552131837,5,74568
CAR149C,rue Bouthillier / rue Lareau,45.4482287613104,-73.3589652122958,5,74566
CAR145A,rue Bouthillier / rue Jean-Baptiste Lamoureux,45.4542084712857,-73.3555237925827,5,74564
CAR144A,rue Bouthillier / rue Jean-Baptiste Charron,45.46243416101,-73.3493776367065,5,74562
MTL13A,Terminus Centre-ville,45.4982652034138,-73.5661781803096,1,74212
CHB92A,boul. Fréchette / rue Anne-le-Seigneur,45.427515651809,-73.3102886525658,5,74622
CAR3A,ch. Bellerive / route 112,45.4594276050778,-73.3068187668401,5,74482
CAR59G,rue Bachand / ch. Bellerive,45.4667744293141,-73.3039162957519,5,74486
CAR62B,rue Bachand / face au 2114,45.4734116425793,-73.3124496881142,5,74493
CAR61B,rue Bachand / face au Parc des Vétérans,45.4790921873297,-73.3195938774681,5,74491
