trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled
1_1_1,16:36:00,16:36:00,CAR155C,1,2,0,1,0
1_1_1,16:38:00,16:38:00,CAR152C,2,2,0,1,0.47
1_1_1,16:40:00,16:40:00,CAR151C,3,2,0,1,1.5
1_1_1,16:43:00,16:43:00,CAR149C,4,2,0,1,2.21
1_1_1,16:45:00,16:45:00,CAR145A,5,2,0,1,2.98
1_1_1,16:47:00,16:47:00,CAR144A,6,2,0,1,4.02
1_2_1,6:18:00,6:18:00,CAR144C,1,2,0,1,0
1_2_1,6:20:00,6:20:00,CAR145C,2,2,0,1,1.03
1_2_1,6:22:00,6:22:00,CAR149D,3,2,0,1,1.8
1_2_1,6:24:00,6:24:00,CAR151A,4,2,0,1,2.52
1_2_1,6:26:00,6:26:00,CAR152A,5,2,0,1,3.55
1_2_1,6:28:00,6:28:00,CAR155A,6,2,0,1,4.02
1_1_2,17:21:00,17:21:00,CAR155C,1,2,0,1,0
1_1_2,17:23:00,17:23:00,CAR152C,2,2,0,1,0.47
1_1_2,17:25:00,17:25:00,CAR151C,3,2,0,1,1.5
1_1_2,17:28:00,17:28:00,CAR149C,4,2,0,1,2.21
1_1_2,17:30:00,17:30:00,CAR145A,5,2,0,1,2.98
1_1_2,17:32:00,17:32:00,CAR144A,6,2,0,1,4.02
1_2_2,6:49:00,6:49:00,CAR144C,1,2,0,1,0
1_2_2,6:51:00,6:51:00,CAR145C,2,2,0,1,1.03
1_2_2,6:53:00,6:53:00,CAR149D,3,2,0,1,1.8
1_2_2,6:55:00,6:55:00,CAR151A,4,2,0,1,2.52
1_2_2,6:57:00,6:57:00,CAR152A,5,2,0,1,3.55
1_2_2,7:00:00,7:00:00,CAR155A,6,2,0,1,4.02
1_1_3,18:28:00,18:28:00,CAR155C,1,2,0,1,0
1_1_3,18:30:00,18:30:00,CAR152C,2,2,0,1,0.47
1_1_3,18:32:00,18:32:00,CAR151C,3,2,0,1,1.5
1_1_3,18:35:00,18:35:00,CAR149C,4,2,0,1,2.21
1_1_3,18:37:00,18:37:00,CAR145A,5,2,0,1,2.98
1_1_3,18:39:00,18:39:00,CAR144A,6,2,0,1,4.02
1_2_3,8:19:00,8:19:00,CAR144C,1,2,0,1,0
